model,dataset,reasoning_enabled,brevity_hint,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,precision_report,recall_report,f1_report,accuracy_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,unaligned_entity_count_avg,unaligned_entity_count_std,unaligned_entity_rate_report,all_entities_wrongly_unaligned_avg,all_entities_wrongly_unaligned_std,all_entities_wrongly_unaligned_rate_report,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
openai/gpt-oss-20b,uner_hr_set,True,False,low,,sampling,True,unconstrained,n|a,1,,18000,42,1,80.40 ± 0.00,54.38 ± 0.00,64.88 ± 0.00,92.52 ± 0.00,78.34 ± 0.00,58.44 ± 0.00,66.94 ± 0.00,81.24 ± 0.00,60.61 ± 0.00,69.42 ± 0.00,193,0.0,29.24 ± 0.00,0,0.0,0.00 ± 0.00,533,0.0,35.96 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,142.489,0.0,62.817,0.0
openai/gpt-oss-20b,uner_hr_set,True,False,low,,sampling,True,constrained,token_aware,1,,18000,42,1,71.63 ± 0.00,77.19 ± 0.00,74.31 ± 0.00,89.49 ± 0.00,58.03 ± 0.00,88.71 ± 0.00,70.16 ± 0.00,62.26 ± 0.00,95.17 ± 0.00,75.27 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,139.114,0.0,63.631,0.0
openai/gpt-oss-20b,uner_ru_pud,True,False,low,,sampling,True,unconstrained,n|a,1,,18000,42,1,69.92 ± 0.00,56.08 ± 0.00,62.24 ± 0.00,93.29 ± 0.00,73.42 ± 0.00,61.32 ± 0.00,66.83 ± 0.00,84.01 ± 0.00,70.16 ± 0.00,76.46 ± 0.00,121,0.0,21.23 ± 0.00,0,0.0,0.00 ± 0.00,267,0.0,24.32 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,118.137,0.0,45.775,0.0
openai/gpt-oss-20b,uner_ru_pud,True,False,low,,sampling,True,constrained,token_aware,1,,18000,42,1,63.40 ± 0.00,68.05 ± 0.00,65.64 ± 0.00,91.57 ± 0.00,60.82 ± 0.00,80.14 ± 0.00,69.16 ± 0.00,71.28 ± 0.00,93.93 ± 0.00,81.06 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,120.505,0.0,46.721,0.0
openai/gpt-oss-20b,uner_da_ddt,True,False,low,,sampling,True,unconstrained,n|a,1,,18000,42,1,81.98 ± 0.00,61.21 ± 0.00,70.09 ± 0.00,94.60 ± 0.00,84.85 ± 0.00,63.52 ± 0.00,72.66 ± 0.00,88.88 ± 0.00,66.54 ± 0.00,76.11 ± 0.00,69,0.0,27.60 ± 0.00,0,0.0,0.00 ± 0.00,135,0.0,28.85 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,103.46,0.0,17.965,0.0
openai/gpt-oss-20b,uner_da_ddt,True,False,low,,sampling,True,constrained,token_aware,1,,18000,42,1,72.71 ± 0.00,76.46 ± 0.00,74.54 ± 0.00,92.13 ± 0.00,67.49 ± 0.00,86.91 ± 0.00,75.98 ± 0.00,72.08 ± 0.00,92.82 ± 0.00,81.15 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,105.032,0.0,18.514,0.0
