model,dataset,reasoning_enabled,brevity_hint,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,precision_report,recall_report,f1_report,accuracy_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,unaligned_entity_count_avg,unaligned_entity_count_std,unaligned_entity_rate_report,all_entities_wrongly_unaligned_avg,all_entities_wrongly_unaligned_std,all_entities_wrongly_unaligned_rate_report,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
Qwen/Qwen3-8B,uner_pt_bosque,False,False,n|a,,sampling,True,unconstrained,n|a,1,,18000,42,1,61.17 ± 0.00,54.32 ± 0.00,57.54 ± 0.00,91.67 ± 0.00,64.98 ± 0.00,62.23 ± 0.00,63.57 ± 0.00,70.95 ± 0.00,67.95 ± 0.00,69.42 ± 0.00,162,0.0,26.00 ± 0.00,0,0.0,0.00 ± 0.00,354,0.0,24.70 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,25.822,0.0
Qwen/Qwen3-8B,uner_pt_bosque,False,False,n|a,,sampling,True,constrained,token_aware,1,,18000,42,1,55.67 ± 0.00,68.72 ± 0.00,61.51 ± 0.00,92.07 ± 0.00,63.20 ± 0.00,79.87 ± 0.00,70.56 ± 0.00,68.25 ± 0.00,86.24 ± 0.00,76.20 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,26.943,0.0
Qwen/Qwen3-8B,uner_sv_pud,False,False,n|a,,sampling,True,unconstrained,n|a,1,,18000,42,1,60.52 ± 0.00,51.99 ± 0.00,55.93 ± 0.00,91.07 ± 0.00,61.91 ± 0.00,56.18 ± 0.00,58.90 ± 0.00,66.91 ± 0.00,60.72 ± 0.00,63.67 ± 0.00,165,0.0,28.60 ± 0.00,0,0.0,0.00 ± 0.00,313,0.0,26.15 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,21.908,0.0
Qwen/Qwen3-8B,uner_sv_pud,False,False,n|a,,sampling,True,constrained,token_aware,1,,18000,42,1,59.53 ± 0.00,71.91 ± 0.00,65.14 ± 0.00,92.42 ± 0.00,62.25 ± 0.00,76.74 ± 0.00,68.74 ± 0.00,66.53 ± 0.00,82.01 ± 0.00,73.46 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,22.501,0.0
Qwen/Qwen3-8B,uner_zh_gsdsimp,False,False,n|a,,sampling,True,unconstrained,n|a,1,,18000,42,1,59.88 ± 0.00,52.42 ± 0.00,55.90 ± 0.00,89.82 ± 0.00,79.43 ± 0.00,57.33 ± 0.00,66.59 ± 0.00,85.54 ± 0.00,61.74 ± 0.00,71.71 ± 0.00,61,0.0,19.43 ± 0.00,0,0.0,0.00 ± 0.00,192,0.0,22.33 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,16.424,0.0
Qwen/Qwen3-8B,uner_zh_gsdsimp,False,False,n|a,,sampling,True,constrained,token_aware,1,,18000,42,1,57.46 ± 0.00,58.58 ± 0.00,58.01 ± 0.00,90.50 ± 0.00,77.19 ± 0.00,63.27 ± 0.00,69.54 ± 0.00,84.34 ± 0.00,69.13 ± 0.00,75.98 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,16.887,0.0
