model,dataset,reasoning_enabled,brevity_hint,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,precision_report,recall_report,f1_report,accuracy_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,unaligned_entity_count_avg,unaligned_entity_count_std,unaligned_entity_rate_report,all_entities_wrongly_unaligned_avg,all_entities_wrongly_unaligned_std,all_entities_wrongly_unaligned_rate_report,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
openai/gpt-oss-120b,uner_zh_pud,True,False,low,,sampling,True,unconstrained,n|a,64,,18000,42,1,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,87.41 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,10,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,57,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,116.6,0.0,27.693,0.0
openai/gpt-oss-120b,uner_zh_pud,True,False,low,,sampling,True,constrained,token_aware,64,,18000,42,1,69.33 ± 0.00,38.89 ± 0.00,49.83 ± 0.00,70.73 ± 0.00,21.93 ± 0.00,43.39 ± 0.00,29.13 ± 0.00,29.89 ± 0.00,59.14 ± 0.00,39.71 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,236.7,0.0,28.418,0.0
openai/gpt-oss-120b,uner_en_pud,True,False,low,,sampling,True,unconstrained,n|a,64,,18000,42,1,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,88.31 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,10,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,410,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,338.0,0.0,24.089,0.0
openai/gpt-oss-120b,uner_en_pud,True,False,low,,sampling,True,constrained,token_aware,64,,18000,42,1,77.92 ± 0.00,66.33 ± 0.00,71.66 ± 0.00,94.93 ± 0.00,79.00 ± 0.00,70.44 ± 0.00,74.47 ± 0.00,86.40 ± 0.00,77.03 ± 0.00,81.44 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,338.5,0.0,22.191,0.0
openai/gpt-oss-120b,uner_zh_gsd,True,False,low,,sampling,True,unconstrained,n|a,64,,18000,42,1,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,82.32 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,5,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,8,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,160.4,0.0,18.414,0.0
openai/gpt-oss-120b,uner_zh_gsd,True,False,low,,sampling,True,constrained,token_aware,64,,18000,42,1,66.67 ± 0.00,51.37 ± 0.00,58.03 ± 0.00,83.93 ± 0.00,49.39 ± 0.00,54.93 ± 0.00,52.01 ± 0.00,59.41 ± 0.00,66.08 ± 0.00,62.57 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,79.0,0.0,17.506,0.0
