model,dataset,reasoning_enabled,brevity_hint,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,precision_report,recall_report,f1_report,accuracy_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,unaligned_entity_count_avg,unaligned_entity_count_std,unaligned_entity_rate_report,all_entities_wrongly_unaligned_avg,all_entities_wrongly_unaligned_std,all_entities_wrongly_unaligned_rate_report,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
openai/gpt-oss-120b,uner_pt_pud,True,False,low,,sampling,True,unconstrained,n|a,64,,18000,42,1,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,89.26 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,10,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,224,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,444.7,0.0,31.462,0.0
openai/gpt-oss-120b,uner_pt_pud,True,False,low,,sampling,True,constrained,token_aware,64,,18000,42,1,83.86 ± 0.00,82.26 ± 0.00,83.05 ± 0.00,96.72 ± 0.00,84.29 ± 0.00,81.00 ± 0.00,82.61 ± 0.00,89.27 ± 0.00,85.79 ± 0.00,87.50 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,294.9,0.0,31.313,0.0
openai/gpt-oss-120b,uner_de_pud,True,False,low,,sampling,True,unconstrained,n|a,64,,18000,42,1,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,88.84 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,10,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,147,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,229.8,0.0,23.356,0.0
openai/gpt-oss-120b,uner_de_pud,True,False,low,,sampling,True,constrained,token_aware,64,,18000,42,1,78.76 ± 0.00,79.21 ± 0.00,78.98 ± 0.00,96.00 ± 0.00,78.50 ± 0.00,77.51 ± 0.00,78.01 ± 0.00,86.03 ± 0.00,84.95 ± 0.00,85.49 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,267.2,0.0,30.934,0.0
openai/gpt-oss-120b,uner_sr_set,True,False,low,,sampling,True,unconstrained,n|a,64,,18000,42,1,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,86.93 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,7,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,69,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,264.714,0.0,19.187,0.0
openai/gpt-oss-120b,uner_sr_set,True,False,low,,sampling,True,constrained,token_aware,64,,18000,42,1,73.00 ± 0.00,58.09 ± 0.00,64.69 ± 0.00,87.60 ± 0.00,51.85 ± 0.00,62.18 ± 0.00,56.55 ± 0.00,57.14 ± 0.00,68.53 ± 0.00,62.32 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,278.714,0.0,23.997,0.0
