model,dataset,reasoning_enabled,brevity_hint,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,precision_report,recall_report,f1_report,accuracy_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,unaligned_entity_count_avg,unaligned_entity_count_std,unaligned_entity_rate_report,all_entities_wrongly_unaligned_avg,all_entities_wrongly_unaligned_std,all_entities_wrongly_unaligned_rate_report,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
openai/gpt-oss-20b,uner_hr_set,True,False,low,,sampling,True,unconstrained,n|a,64,,18000,42,1,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,86.83 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,11,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,550,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,35.818,0.0,11.198,0.0
openai/gpt-oss-20b,uner_hr_set,True,False,low,,sampling,True,constrained,token_aware,64,,18000,42,1,73.89 ± 0.00,45.19 ± 0.00,56.08 ± 0.00,78.09 ± 0.00,31.44 ± 0.00,53.90 ± 0.00,39.71 ± 0.00,40.09 ± 0.00,68.73 ± 0.00,50.64 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,80.636,0.0,17.93,0.0
openai/gpt-oss-20b,uner_ru_pud,True,False,low,,sampling,True,unconstrained,n|a,64,,18000,42,1,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,87.56 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,9,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,429,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,49.556,0.0,7.677,0.0
openai/gpt-oss-20b,uner_ru_pud,True,False,low,,sampling,True,constrained,token_aware,64,,18000,42,1,73.15 ± 0.00,42.86 ± 0.00,54.05 ± 0.00,82.16 ± 0.00,33.73 ± 0.00,45.88 ± 0.00,38.88 ± 0.00,45.29 ± 0.00,61.62 ± 0.00,52.21 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,76.0,0.0,12.459,0.0
openai/gpt-oss-20b,uner_da_ddt,True,False,low,,sampling,True,unconstrained,n|a,64,,18000,42,1,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,87.89 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,4,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,42,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,35.25,0.0,1.225,0.0
openai/gpt-oss-20b,uner_da_ddt,True,False,low,,sampling,True,constrained,token_aware,64,,18000,42,1,60.71 ± 0.00,3.81 ± 0.00,7.17 ± 0.00,47.99 ± 0.00,5.21 ± 0.00,15.38 ± 0.00,7.78 ± 0.00,18.12 ± 0.00,53.52 ± 0.00,27.07 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,55.0,0.0,3.92,0.0
