model,dataset,reasoning_enabled,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,char_f1_report,char_precision_report,char_recall_report,macro_hard_precision_report,macro_hard_recall_report,macro_hard_f1_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,predicted_spans_avg,predicted_spans_std,predicted_empty_spans_avg,predicted_empty_spans_std,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
google/gemma-4-E2B-it,multigec,False,n|a,,sampling,True,unconstrained,n|a,1,,18000,"42,43,44",3,0.69 ± 0.70,2.78 ± 1.06,0.47 ± 0.54,1.62 ± 1.59,0.42 ± 0.57,0.60 ± 0.77,26.73 ± 27.29,0.31 ± 0.30,0.62 ± 0.60,34.34 ± 22.56,0.38 ± 0.30,0.75 ± 0.60,49.333,1.528,78.31 ± 2.42,33.667,9.609,0,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,22.328,0.356
google/gemma-4-E2B-it,multigec,False,n|a,,sampling,True,constrained,token_aware,1,,18000,"42,43,44",3,11.02 ± 0.49,20.32 ± 1.39,17.63 ± 2.05,18.37 ± 1.38,10.84 ± 0.73,8.83 ± 0.35,5.54 ± 0.74,11.95 ± 1.59,7.54 ± 0.87,8.13 ± 0.73,17.51 ± 1.22,11.07 ± 0.53,0.0,0.0,0.00 ± 0.00,69.0,6.083,14,2.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,22.678,2.602
