model,dataset,reasoning_enabled,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,char_f1_report,char_precision_report,char_recall_report,macro_hard_precision_report,macro_hard_recall_report,macro_hard_f1_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,predicted_spans_avg,predicted_spans_std,predicted_empty_spans_avg,predicted_empty_spans_std,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
google/gemma-4-E2B-it,multigec,True,n|a,,sampling,True,unconstrained,n|a,1,,18000,"42,43,44",3,5.90 ± 1.89,6.17 ± 2.01,6.06 ± 1.79,5.34 ± 1.88,4.93 ± 1.66,4.96 ± 1.78,36.66 ± 8.50,3.69 ± 1.18,6.69 ± 2.09,42.84 ± 9.40,4.30 ± 1.32,7.82 ± 2.33,35.667,3.215,79.26 ± 7.14,212,39.23,1,1.732,0,0.0,0.00 ± 0.00,4,8.89 ± 0.00,1072.763,36.499,149.036,4.277
google/gemma-4-E2B-it,multigec,True,n|a,,sampling,True,constrained,token_aware,1,,18000,"42,43,44",3,21.43 ± 1.41,24.05 ± 2.43,57.49 ± 5.65,21.46 ± 2.94,31.20 ± 2.12,17.57 ± 1.95,3.65 ± 0.54,27.98 ± 1.55,6.45 ± 0.87,7.51 ± 0.51,58.01 ± 6.20,13.27 ± 0.72,1.333,0.577,2.96 ± 1.28,146,19.0,27,12.124,0,0.0,0.00 ± 0.00,4,8.89 ± 0.00,1096.304,22.33,154.025,5.048
