model,dataset,reasoning_enabled,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,char_f1_report,char_precision_report,char_recall_report,macro_hard_precision_report,macro_hard_recall_report,macro_hard_f1_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,predicted_spans_avg,predicted_spans_std,predicted_empty_spans_avg,predicted_empty_spans_std,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
google/gemma-4-E2B-it,multigec,True,n|a,,sampling,True,unconstrained,n|a,1,10,18000,42,1,5.37 ± 0.00,7.78 ± 0.00,5.83 ± 0.00,6.47 ± 0.00,4.32 ± 0.00,4.23 ± 0.00,27.69 ± 0.00,2.84 ± 0.00,5.15 ± 0.00,33.85 ± 0.00,3.47 ± 0.00,6.29 ± 0.00,7,0.0,70.00 ± 0.00,37,0.0,0,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,1118.1,0.0,10.585,0.0
google/gemma-4-E2B-it,multigec,True,n|a,,sampling,True,constrained,token_aware,1,10,18000,42,1,30.05 ± 0.00,25.97 ± 0.00,63.12 ± 0.00,14.90 ± 0.00,25.77 ± 0.00,17.84 ± 0.00,2.53 ± 0.00,17.35 ± 0.00,4.42 ± 0.00,9.44 ± 0.00,64.67 ± 0.00,16.47 ± 0.00,0,0.0,0.00 ± 0.00,39,0.0,0,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,1166.4,0.0,10.94,0.0
