model,dataset,reasoning_enabled,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,char_f1_report,char_precision_report,char_recall_report,macro_hard_precision_report,macro_hard_recall_report,macro_hard_f1_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,predicted_spans_avg,predicted_spans_std,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
openai/gpt-oss-20b,wmt_en-is-news,True,low,,sampling,True,unconstrained,n|a,1,15,16000,42,1,10.12 ± 0.00,11.99 ± 0.00,10.61 ± 0.00,11.52 ± 0.00,9.50 ± 0.00,9.46 ± 0.00,20.67 ± 0.00,3.57 ± 0.00,6.09 ± 0.00,23.00 ± 0.00,3.97 ± 0.00,6.78 ± 0.00,8,0.0,53.33 ± 0.00,41,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,438.2,0.0,4.249,0.0
openai/gpt-oss-20b,wmt_en-is-news,True,low,,sampling,True,constrained,token_aware,1,15,16000,42,1,25.48 ± 0.00,34.54 ± 0.00,24.63 ± 0.00,14.70 ± 0.00,7.79 ± 0.00,9.20 ± 0.00,16.34 ± 0.00,9.22 ± 0.00,11.79 ± 0.00,41.47 ± 0.00,23.39 ± 0.00,29.91 ± 0.00,0,0.0,0.00 ± 0.00,54,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,432.067,0.0,4.3,0.0
openai/gpt-oss-20b,wmt_en-uk-literary,True,low,,sampling,True,unconstrained,n|a,1,15,16000,42,1,21.23 ± 0.00,25.14 ± 0.00,27.76 ± 0.00,5.89 ± 0.00,3.18 ± 0.00,3.81 ± 0.00,4.59 ± 0.00,6.37 ± 0.00,5.33 ± 0.00,22.22 ± 0.00,30.88 ± 0.00,25.85 ± 0.00,2,0.0,13.33 ± 0.00,27,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,485.467,0.0,4.091,0.0
openai/gpt-oss-20b,wmt_en-uk-literary,True,low,,sampling,True,constrained,token_aware,1,15,16000,42,1,20.48 ± 0.00,27.21 ± 0.00,39.59 ± 0.00,12.13 ± 0.00,26.11 ± 0.00,10.07 ± 0.00,10.88 ± 0.00,26.72 ± 0.00,15.46 ± 0.00,17.37 ± 0.00,42.65 ± 0.00,24.68 ± 0.00,0,0.0,0.00 ± 0.00,42,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,375.733,0.0,3.446,0.0
openai/gpt-oss-20b,wmt_en-hi-social,True,low,,sampling,True,unconstrained,n|a,1,15,16000,42,1,12.73 ± 0.00,8.23 ± 0.00,33.33 ± 0.00,3.59 ± 0.00,13.33 ± 0.00,5.49 ± 0.00,13.31 ± 0.00,28.06 ± 0.00,18.06 ± 0.00,18.43 ± 0.00,38.85 ± 0.00,25.00 ± 0.00,3,0.0,20.00 ± 0.00,16,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,257.4,0.0,1.996,0.0
openai/gpt-oss-20b,wmt_en-hi-social,True,low,,sampling,True,constrained,token_aware,1,15,16000,42,1,16.13 ± 0.00,17.99 ± 0.00,46.01 ± 0.00,8.92 ± 0.00,28.24 ± 0.00,6.65 ± 0.00,5.71 ± 0.00,22.30 ± 0.00,9.09 ± 0.00,11.79 ± 0.00,46.04 ± 0.00,18.77 ± 0.00,0,0.0,0.00 ± 0.00,15,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,219.6,0.0,1.76,0.0
openai/gpt-oss-20b,wmt_en-hi-literary,True,low,,sampling,True,unconstrained,n|a,1,15,16000,42,1,17.76 ± 0.00,19.10 ± 0.00,33.68 ± 0.00,12.43 ± 0.00,31.11 ± 0.00,14.06 ± 0.00,10.81 ± 0.00,32.16 ± 0.00,16.18 ± 0.00,12.77 ± 0.00,38.01 ± 0.00,19.12 ± 0.00,7,0.0,46.67 ± 0.00,29,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,300.667,0.0,2.63,0.0
openai/gpt-oss-20b,wmt_en-hi-literary,True,low,,sampling,True,constrained,token_aware,1,15,16000,42,1,13.36 ± 0.00,12.70 ± 0.00,27.90 ± 0.00,4.70 ± 0.00,18.67 ± 0.00,7.43 ± 0.00,6.94 ± 0.00,30.99 ± 0.00,11.34 ± 0.00,9.69 ± 0.00,43.27 ± 0.00,15.83 ± 0.00,0,0.0,0.00 ± 0.00,32,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,320.6,0.0,2.773,0.0
