model,dataset,reasoning_enabled,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,char_f1_report,char_precision_report,char_recall_report,macro_hard_precision_report,macro_hard_recall_report,macro_hard_f1_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,predicted_spans_avg,predicted_spans_std,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
openai/gpt-oss-20b,wmt_en-ru-literary,True,low,,sampling,True,unconstrained,n|a,1,,18000,"42,43,44",3,17.36 ± 2.14,18.52 ± 3.62,24.62 ± 3.04,7.72 ± 3.28,12.39 ± 0.46,7.69 ± 1.60,9.50 ± 5.09,6.92 ± 3.47,8.00 ± 4.13,19.06 ± 2.85,14.11 ± 1.39,16.20 ± 1.92,16,1.732,32.00 ± 3.46,119.333,9.074,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,347.24,22.057,20.942,0.97
openai/gpt-oss-20b,wmt_en-ru-literary,True,low,,sampling,True,constrained,token_aware,1,,18000,"42,43,44",3,28.70 ± 2.81,29.56 ± 2.73,44.32 ± 2.62,9.92 ± 1.61,18.37 ± 4.18,10.04 ± 2.27,6.79 ± 1.29,10.24 ± 1.51,8.15 ± 1.36,16.64 ± 3.91,25.08 ± 4.88,19.96 ± 4.27,0,0.0,0.00 ± 0.00,119.667,7.638,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,309.093,40.316,21.21,2.308
openai/gpt-oss-20b,wmt_en-zh-literary,True,low,,sampling,True,unconstrained,n|a,1,,18000,"42,43,44",3,19.03 ± 7.24,15.82 ± 7.79,30.02 ± 5.12,5.84 ± 3.64,10.08 ± 2.70,6.71 ± 3.24,7.81 ± 1.26,14.38 ± 3.14,10.09 ± 1.73,16.29 ± 3.27,30.14 ± 9.06,21.05 ± 4.65,3,1.732,17.65 ± 10.19,30.667,5.132,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,292.804,1.919,6.079,0.152
openai/gpt-oss-20b,wmt_en-zh-literary,True,low,,sampling,True,constrained,token_aware,1,,18000,"42,43,44",3,21.67 ± 6.63,19.41 ± 6.32,33.88 ± 8.19,6.23 ± 4.39,10.49 ± 5.23,7.01 ± 4.74,5.05 ± 3.86,14.38 ± 12.39,7.45 ± 5.89,9.47 ± 2.92,25.12 ± 13.79,13.63 ± 5.19,0,0.0,0.00 ± 0.00,28.0,7.211,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,317.157,53.724,4.746,1.408
