model,dataset,reasoning_enabled,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,char_f1_report,char_precision_report,char_recall_report,macro_hard_precision_report,macro_hard_recall_report,macro_hard_f1_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,predicted_spans_avg,predicted_spans_std,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
google/gemma-4-E2B-it,wmt_en-es-news,False,n|a,,sampling,True,unconstrained,n|a,1,,18000,"42,43,44",3,0.87 ± 0.75,1.67 ± 1.46,0.58 ± 0.51,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,24.80 ± 25.00,0.77 ± 0.66,1.48 ± 1.28,17.333,1.528,45.61 ± 4.02,2.0,2.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,5.202,0.096
google/gemma-4-E2B-it,wmt_en-es-news,False,n|a,,sampling,True,constrained,token_aware,1,,18000,"42,43,44",3,3.09 ± 1.49,4.39 ± 1.52,2.65 ± 1.49,0.88 ± 1.52,0.31 ± 0.54,0.46 ± 0.79,2.67 ± 4.62,0.23 ± 0.40,0.42 ± 0.73,39.35 ± 45.31,1.84 ± 0.99,3.42 ± 1.87,0.0,0.0,0.00 ± 0.00,5.333,1.155,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,6.952,0.115
google/gemma-4-E2B-it,wmt_en-uk-literary,False,n|a,,sampling,True,unconstrained,n|a,1,,18000,"42,43,44",3,0.47 ± 0.42,1.80 ± 1.56,0.27 ± 0.24,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,12.32 ± 11.93,0.30 ± 0.26,0.59 ± 0.51,16.333,1.528,44.14 ± 4.13,8.667,0.577,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,7.693,0.641
google/gemma-4-E2B-it,wmt_en-uk-literary,False,n|a,,sampling,True,constrained,token_aware,1,,18000,"42,43,44",3,2.71 ± 1.36,4.47 ± 2.65,2.75 ± 1.90,1.80 ± 1.56,0.50 ± 0.43,0.78 ± 0.68,3.00 ± 3.05,0.60 ± 0.52,0.99 ± 0.86,14.90 ± 8.68,3.59 ± 3.42,5.69 ± 5.05,0.0,0.0,0.00 ± 0.00,12.0,1.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,8.23,0.239
google/gemma-4-E2B-it,wmt_en-zh-literary,False,n|a,,sampling,True,unconstrained,n|a,1,,18000,"42,43,44",3,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.333,0.577,1.96 ± 3.40,0.0,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,1.926,0.071
google/gemma-4-E2B-it,wmt_en-zh-literary,False,n|a,,sampling,True,constrained,token_aware,1,,18000,"42,43,44",3,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.0,0.0,0.00 ± 0.00,0.0,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,2.323,0.261
