model,dataset,reasoning_enabled,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,char_f1_report,char_precision_report,char_recall_report,macro_hard_precision_report,macro_hard_recall_report,macro_hard_f1_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,predicted_spans_avg,predicted_spans_std,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
google/gemma-4-E2B-it,wmt_en-es-news,True,n|a,,sampling,True,unconstrained,n|a,1,,18000,"42,43,44",3,2.26 ± 0.47,3.58 ± 1.20,1.92 ± 0.42,2.36 ± 2.31,0.96 ± 0.91,1.36 ± 1.30,21.33 ± 18.07,1.45 ± 1.33,2.72 ± 2.46,32.80 ± 9.84,2.45 ± 0.37,4.54 ± 0.69,12.0,2.0,31.58 ± 5.26,13.333,0.577,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,875.281,3.143,52.884,0.323
google/gemma-4-E2B-it,wmt_en-es-news,True,n|a,,sampling,True,constrained,token_aware,1,,18000,"42,43,44",3,5.93 ± 1.04,7.47 ± 1.95,11.44 ± 2.10,2.78 ± 2.34,4.29 ± 1.46,1.91 ± 1.28,2.41 ± 1.00,2.87 ± 1.21,2.62 ± 1.10,7.28 ± 1.18,8.66 ± 1.23,7.91 ± 1.21,0.0,0.0,0.00 ± 0.00,16.0,2.646,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,876.509,7.015,58.065,0.66
google/gemma-4-E2B-it,wmt_en-hi-literary,True,n|a,,sampling,True,unconstrained,n|a,1,,18000,"42,43,44",3,1.79 ± 1.55,2.49 ± 2.39,3.56 ± 3.09,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,7.16 ± 8.00,2.42 ± 2.16,3.33 ± 2.89,13.667,1.528,56.94 ± 6.36,18.667,4.933,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,896.528,33.755,32.745,1.782
google/gemma-4-E2B-it,wmt_en-hi-literary,True,n|a,,sampling,True,constrained,token_aware,1,,18000,"42,43,44",3,5.28 ± 4.80,5.48 ± 4.68,18.94 ± 8.28,2.86 ± 3.73,9.81 ± 6.85,3.23 ± 3.79,1.94 ± 1.32,7.15 ± 4.12,3.04 ± 2.00,3.62 ± 2.41,13.03 ± 7.40,5.66 ± 3.65,0.0,0.0,0.00 ± 0.00,19.667,2.309,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,906.375,48.475,33.032,4.888
google/gemma-4-E2B-it,wmt_en-ja-literary,True,n|a,,sampling,True,unconstrained,n|a,1,,18000,"42,43,44",3,1.90 ± 1.65,1.23 ± 1.07,4.17 ± 3.61,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,11.12 ± 16.78,5.00 ± 6.01,6.66 ± 8.98,7.333,0.577,45.83 ± 3.61,4.0,3.464,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,1029.625,25.998,20.705,0.333
google/gemma-4-E2B-it,wmt_en-ja-literary,True,n|a,,sampling,True,constrained,token_aware,1,,18000,"42,43,44",3,4.27 ± 3.46,2.80 ± 2.31,12.50 ± 6.25,0.69 ± 1.20,2.08 ± 3.61,1.04 ± 1.80,0.25 ± 0.43,1.11 ± 1.92,0.40 ± 0.70,2.18 ± 1.60,12.22 ± 10.84,3.68 ± 2.78,0.0,0.0,0.00 ± 0.00,9.333,2.309,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,1052.875,18.448,22.993,0.544
