model,dataset,reasoning_enabled,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,char_f1_report,char_precision_report,char_recall_report,macro_hard_precision_report,macro_hard_recall_report,macro_hard_f1_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,predicted_spans_avg,predicted_spans_std,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
google/gemma-4-E2B-it,wmt_en-ru-social,True,n|a,,sampling,True,unconstrained,n|a,1,,18000,"42,43,44",3,15.88 ± 0.95,19.14 ± 0.26,21.80 ± 1.04,6.25 ± 1.85,6.00 ± 4.64,4.70 ± 2.03,13.01 ± 3.27,6.38 ± 1.54,8.54 ± 2.06,40.55 ± 5.04,19.83 ± 1.40,26.58 ± 1.93,8.0,1.732,23.53 ± 5.09,23.667,1.155,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,768.902,32.032,40.666,2.244
google/gemma-4-E2B-it,wmt_en-ru-social,True,n|a,,sampling,True,constrained,token_aware,1,,18000,"42,43,44",3,28.74 ± 2.44,32.46 ± 3.30,31.90 ± 2.04,13.88 ± 3.78,10.99 ± 3.25,10.99 ± 3.55,17.32 ± 8.68,11.00 ± 5.98,13.45 ± 7.09,54.35 ± 7.08,34.08 ± 5.10,41.87 ± 5.82,0.0,0.0,0.00 ± 0.00,24.667,1.155,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,735.324,19.22,42.336,1.193
google/gemma-4-E2B-it,wmt_en-uk-news,True,n|a,,sampling,True,unconstrained,n|a,1,,18000,"42,43,44",3,11.25 ± 3.38,10.19 ± 3.58,16.76 ± 2.88,4.20 ± 1.51,6.13 ± 0.66,4.60 ± 0.98,7.46 ± 0.89,4.58 ± 0.34,5.66 ± 0.42,19.45 ± 6.49,11.69 ± 2.80,14.58 ± 4.02,11.667,1.528,40.23 ± 5.27,23.0,1.732,0,0.0,0.00 ± 0.00,1,3.45 ± 0.00,1139.333,29.716,53.171,0.957
google/gemma-4-E2B-it,wmt_en-uk-news,True,n|a,,sampling,True,constrained,token_aware,1,,18000,"42,43,44",3,16.17 ± 6.12,13.48 ± 5.38,29.57 ± 13.35,7.60 ± 3.05,11.45 ± 4.24,8.37 ± 3.37,3.19 ± 0.44,8.93 ± 4.02,4.64 ± 1.01,11.89 ± 1.13,33.11 ± 14.00,17.27 ± 3.10,0.0,0.0,0.00 ± 0.00,30.333,2.517,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,1161.621,37.675,56.693,4.002
