model,dataset,reasoning_enabled,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,char_f1_report,char_precision_report,char_recall_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,predicted_spans_avg,predicted_spans_std,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
google/gemma-4-E2B-it,toxic_spans,True,n|a,,sampling,True,unconstrained,n|a,1,25,18000,42,1,37.31 ± 0.00,36.10 ± 0.00,40.00 ± 0.00,66.20 ± 0.00,31.33 ± 0.00,42.53 ± 0.00,66.20 ± 0.00,31.33 ± 0.00,42.53 ± 0.00,10,0.0,40.00 ± 0.00,13,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,454.44,0.0,10.193,0.0
google/gemma-4-E2B-it,toxic_spans,True,n|a,,sampling,True,constrained,token_aware,1,25,18000,42,1,37.85 ± 0.00,35.03 ± 0.00,52.00 ± 0.00,12.83 ± 0.00,35.33 ± 0.00,18.83 ± 0.00,12.83 ± 0.00,35.33 ± 0.00,18.83 ± 0.00,0,0.0,0.00 ± 0.00,18,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,433.28,0.0,9.73,0.0
