model,dataset,reasoning_enabled,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,char_f1_report,char_precision_report,char_recall_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,predicted_spans_avg,predicted_spans_std,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
google/gemma-4-E2B-it,toxic_spans,False,n|a,,sampling,True,unconstrained,n|a,1,25,18000,42,1,35.99 ± 0.00,36.16 ± 0.00,38.40 ± 0.00,47.62 ± 0.00,33.33 ± 0.00,39.22 ± 0.00,47.62 ± 0.00,33.33 ± 0.00,39.22 ± 0.00,13,0.0,52.00 ± 0.00,16,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,0.645,0.0
google/gemma-4-E2B-it,toxic_spans,False,n|a,,sampling,True,constrained,token_aware,1,25,18000,42,1,44.83 ± 0.00,41.45 ± 0.00,70.40 ± 0.00,13.95 ± 0.00,78.00 ± 0.00,23.66 ± 0.00,13.95 ± 0.00,78.00 ± 0.00,23.66 ± 0.00,0,0.0,0.00 ± 0.00,25,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,1.001,0.0
