model,dataset,reasoning_enabled,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,char_f1_report,char_precision_report,char_recall_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,predicted_spans_avg,predicted_spans_std,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
google/gemma-4-E2B-it,toxic_spans,True,n|a,,sampling,True,unconstrained,n|a,1,,18000,"42,43,44",3,49.00 ± 1.61,47.87 ± 1.78,51.98 ± 0.69,25.71 ± 0.47,25.41 ± 2.40,25.51 ± 1.22,25.71 ± 0.47,25.41 ± 2.40,25.51 ± 1.22,39.667,1.528,47.22 ± 1.82,64.333,6.11,0,0.0,0.00 ± 0.00,0.667,0.79 ± 0.69,495.353,12.57,68.764,1.577
google/gemma-4-E2B-it,toxic_spans,True,n|a,,sampling,True,constrained,token_aware,1,,18000,"42,43,44",3,43.53 ± 1.24,40.97 ± 0.95,56.86 ± 3.83,9.60 ± 0.78,62.18 ± 3.15,16.63 ± 1.22,9.60 ± 0.78,62.18 ± 3.15,16.63 ± 1.22,0.0,0.0,0.00 ± 0.00,86.667,4.163,0,0.0,0.00 ± 0.00,0.0,0.00 ± 0.00,499.968,2.986,70.434,2.022
