model,dataset,reasoning_enabled,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,char_f1_report,char_precision_report,char_recall_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,predicted_spans_avg,predicted_spans_std,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
google/gemma-4-E2B-it,toxic_spans,True,n|a,,sampling,True,unconstrained,n|a,1,,18000,"42,43,44",3,45.85 ± 2.07,44.88 ± 2.30,49.23 ± 2.16,23.30 ± 4.94,27.69 ± 3.10,25.00 ± 2.74,23.30 ± 4.94,27.69 ± 3.10,25.00 ± 2.74,38.333,0.577,45.63 ± 0.69,61.333,5.508,0,0.0,0.00 ± 0.00,1,1.19 ± 0.00,495.171,3.919,67.675,0.593
google/gemma-4-E2B-it,toxic_spans,True,n|a,,sampling,True,constrained,token_aware,1,,18000,"42,43,44",3,32.52 ± 3.34,30.65 ± 3.37,42.09 ± 4.89,7.63 ± 3.31,51.46 ± 3.76,13.16 ± 5.06,7.63 ± 3.31,51.46 ± 3.76,13.16 ± 5.06,0.0,0.0,0.00 ± 0.00,76.667,4.163,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,494.679,4.491,66.85,0.402
