model,dataset,reasoning_enabled,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,char_f1_report,char_precision_report,char_recall_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,predicted_spans_avg,predicted_spans_std,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
google/gemma-4-31B-it,toxic_spans,False,n|a,,sampling,True,unconstrained,n|a,1,,18000,"42,43,44",3,36.75 ± 0.57,33.95 ± 0.54,47.69 ± 0.74,15.39 ± 0.54,64.97 ± 0.87,24.89 ± 0.77,15.39 ± 0.54,64.97 ± 0.87,24.89 ± 0.77,59.333,1.155,5.93 ± 0.12,1069.667,3.215,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,41.975,0.025
google/gemma-4-31B-it,toxic_spans,False,n|a,,sampling,True,constrained,token_aware,1,,18000,"42,43,44",3,35.95 ± 0.30,32.88 ± 0.25,47.73 ± 0.47,15.43 ± 0.11,70.19 ± 0.79,25.30 ± 0.19,15.43 ± 0.11,70.19 ± 0.79,25.30 ± 0.19,0.0,0.0,0.00 ± 0.00,1080.667,10.066,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,42.591,0.097
