model,dataset,reasoning_enabled,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,char_f1_report,char_precision_report,char_recall_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,predicted_spans_avg,predicted_spans_std,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
google/gemma-4-E2B-it,toxic_spans,True,n|a,,sampling,True,unconstrained,n|a,1,,18000,"42,43,44",3,51.42 ± 1.80,50.92 ± 2.12,53.25 ± 1.51,23.50 ± 6.12,23.44 ± 5.94,23.43 ± 5.97,23.50 ± 6.12,23.44 ± 5.94,23.43 ± 5.97,37.333,1.528,44.44 ± 1.82,56.667,2.517,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,508.96,5.353,69.404,1.566
google/gemma-4-E2B-it,toxic_spans,True,n|a,,sampling,True,constrained,token_aware,1,,18000,"42,43,44",3,41.48 ± 4.11,40.71 ± 4.13,46.74 ± 5.83,7.90 ± 2.86,47.58 ± 8.54,13.37 ± 4.41,7.90 ± 2.86,47.58 ± 8.54,13.37 ± 4.41,0.0,0.0,0.00 ± 0.00,73.0,3.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,510.591,3.997,71.56,2.608
