model,dataset,reasoning_enabled,brevity_hint,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,precision_report,recall_report,f1_report,accuracy_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,unaligned_entity_count_avg,unaligned_entity_count_std,unaligned_entity_rate_report,all_entities_wrongly_unaligned_avg,all_entities_wrongly_unaligned_std,all_entities_wrongly_unaligned_rate_report,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
google/gemma-4-E2B-it,conll2003_all,True,False,n|a,,sampling,True,unconstrained,n|a,64,1152,18000,"42,43,44",3,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,83.15 ± 0.44,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,6,0.0,100.00 ± 0.00,0,0.0,0.00 ± 0.00,88.333,84.5,100.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,2476.778,105.108,29.604,1.125
google/gemma-4-E2B-it,conll2003_all,True,False,n|a,,sampling,True,constrained,token_aware,64,1152,18000,"42,43,44",3,60.77 ± 24.58,9.77 ± 8.62,16.21 ± 13.49,22.41 ± 16.85,7.85 ± 3.86,28.01 ± 7.32,12.19 ± 5.35,24.20 ± 4.33,90.01 ± 5.88,37.91 ± 4.86,0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0.0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,2519.778,213.514,25.923,1.525
