model,dataset,method,matching,reasoning_enabled,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,batch_size,max_examples,max_new_tokens,seeds,n_iters,precision_report,recall_report,f1_report,accuracy_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,format_invalid_count_avg,format_invalid_count_std,format_invalid_rate_report,context_not_in_input_avg,context_not_in_input_std,context_not_in_input_rate_report,entity_not_in_context_avg,entity_not_in_context_std,entity_not_in_context_rate_report,span_not_found_avg,span_not_found_std,span_not_found_rate_report,invalid_label_avg,invalid_label_std,invalid_label_rate_report,unaligned_entity_count_avg,unaligned_entity_count_std,unaligned_entity_rate_report,proposed_entity_count_avg,proposed_entity_count_std,predicted_spans_avg,predicted_spans_std,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,output_tokens_avg_avg,output_tokens_avg_std,answer_tokens_avg_avg,answer_tokens_avg_std,generation_seconds_avg_avg,generation_seconds_avg_std,tokens_per_second_avg,tokens_per_second_std,elapsed_minute_avg,elapsed_minute_std,err_success_rate_report,err_empty_response_rate_report,err_empty_prediction_rate_report,err_format_error_rate_report,err_format_max_tokens_exceeded_rate_report,err_span_not_found_rate_report,err_partial_span_not_found_rate_report,err_invalid_label_rate_report,err_partial_invalid_label_rate_report,err_empty_label_rate_report,err_partial_empty_label_rate_report
google/gemma-4-E2B-it,uner_de_pud,context_hf,exact,False,n|a,,sampling,True,context,64,250,18000,"42,43,44",3,79.21 ± 3.82,36.87 ± 3.84,50.23 ± 3.73,92.43 ± 0.34,78.91 ± 4.71,38.36 ± 6.24,51.45 ± 6.25,84.35 ± 3.27,40.96 ± 6.01,54.95 ± 5.60,0.0,0.0,0.00 ± 0.00,9.333,3.786,4.25 ± 1.72,3.333,3.055,1.47 ± 1.42,12.667,2.887,5.72 ± 0.54,0.0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,220.0,31.765,207.333,29.023,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,2124.083,282.446,2124.083,282.446,137.4,18.264,15.459,0.046,9.164,1.219,16.67 ± 14.43,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,83.33 ± 14.43,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
google/gemma-4-E2B-it,uner_hr_set,context_hf,exact,False,n|a,,sampling,True,context,64,250,18000,"42,43,44",3,89.72 ± 2.32,18.81 ± 6.66,30.67 ± 9.35,89.20 ± 1.08,89.64 ± 3.54,19.36 ± 7.66,31.29 ± 10.76,93.52 ± 3.84,20.27 ± 8.21,32.74 ± 11.58,1.333,0.577,33.33 ± 14.43,3.667,2.082,3.27 ± 1.67,4.667,2.517,3.69 ± 0.99,8.333,4.163,6.96 ± 2.10,0.0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,121.0,45.044,112.667,42.336,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,1758.583,693.778,1758.583,693.778,117.318,47.165,15.035,0.167,7.824,3.145,16.67 ± 14.43,8.33 ± 14.43,0.00 ± 0.00,25.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,50.00 ± 25.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
google/gemma-4-E2B-it,uner_ru_pud,context_hf,exact,False,n|a,,sampling,True,context,64,250,18000,"42,43,44",3,72.04 ± 2.09,35.57 ± 2.16,47.60 ± 2.21,91.31 ± 0.33,74.10 ± 2.01,36.78 ± 3.81,49.09 ± 3.56,87.61 ± 0.76,43.50 ± 4.52,58.06 ± 4.13,0.0,0.0,0.00 ± 0.00,6.667,2.517,2.76 ± 0.86,5.0,2.646,2.17 ± 1.30,11.667,0.577,4.93 ± 0.46,0.0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,237.667,18.556,226.0,18.52,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,2673.833,259.763,2673.833,259.763,177.841,17.07,15.034,0.02,11.86,1.138,8.33 ± 14.43,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,91.67 ± 14.43,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
google/gemma-4-E2B-it,uner_sv_pud,context_hf,exact,False,n|a,,sampling,True,context,64,250,18000,"42,43,44",3,82.85 ± 3.97,43.41 ± 4.14,56.81 ± 2.74,92.67 ± 0.42,85.45 ± 2.99,47.36 ± 5.62,60.75 ± 4.08,91.36 ± 2.56,50.65 ± 5.99,64.96 ± 4.33,0.333,0.577,8.33 ± 14.43,5.667,1.528,2.24 ± 0.69,4.333,0.577,1.73 ± 0.42,10.0,2.0,3.97 ± 1.05,1.667,2.887,0.57 ± 0.98,0,0.0,0.00 ± 0.00,256.333,41.284,244.667,38.475,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,2763.333,484.204,2763.333,484.204,181.114,26.879,15.218,0.534,12.078,1.792,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,8.33 ± 14.43,0.00 ± 0.00,0.00 ± 0.00,91.67 ± 14.43,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
google/gemma-4-E2B-it,uner_zh_pud,context_hf,exact,False,n|a,,sampling,True,context,64,250,18000,"42,43,44",3,81.57 ± 1.60,27.46 ± 11.28,40.19 ± 13.09,90.81 ± 1.08,85.03 ± 3.89,29.58 ± 11.07,42.88 ± 12.01,88.91 ± 4.13,30.92 ± 11.56,44.83 ± 12.53,0.333,0.577,8.33 ± 14.43,19.667,14.189,12.61 ± 12.82,10.667,8.145,5.31 ± 3.38,30.333,14.224,17.92 ± 12.64,0.0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,196.333,59.534,166.0,70.704,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,2251.0,305.824,2251.0,305.824,123.548,16.181,18.214,0.312,8.24,1.079,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,8.33 ± 14.43,0.00 ± 0.00,0.00 ± 0.00,91.67 ± 14.43,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
