model,dataset,method,matching,reasoning_enabled,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,batch_size,max_examples,max_new_tokens,seeds,n_iters,precision_report,recall_report,f1_report,accuracy_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,format_invalid_count_avg,format_invalid_count_std,format_invalid_rate_report,context_not_in_input_avg,context_not_in_input_std,context_not_in_input_rate_report,entity_not_in_context_avg,entity_not_in_context_std,entity_not_in_context_rate_report,span_not_found_avg,span_not_found_std,span_not_found_rate_report,invalid_label_avg,invalid_label_std,invalid_label_rate_report,unaligned_entity_count_avg,unaligned_entity_count_std,unaligned_entity_rate_report,proposed_entity_count_avg,proposed_entity_count_std,predicted_spans_avg,predicted_spans_std,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,output_tokens_avg_avg,output_tokens_avg_std,answer_tokens_avg_avg,answer_tokens_avg_std,generation_seconds_avg_avg,generation_seconds_avg_std,tokens_per_second_avg,tokens_per_second_std,elapsed_minute_avg,elapsed_minute_std,err_success_rate_report,err_empty_response_rate_report,err_empty_prediction_rate_report,err_format_error_rate_report,err_format_max_tokens_exceeded_rate_report,err_span_not_found_rate_report,err_partial_span_not_found_rate_report,err_invalid_label_rate_report,err_partial_invalid_label_rate_report,err_empty_label_rate_report,err_partial_empty_label_rate_report
google/gemma-4-E2B-it,uner_da_ddt,context_hf,exact,False,n|a,,sampling,True,context,64,250,18000,"42,43,44",3,86.41 ± 2.00,24.89 ± 7.38,38.31 ± 8.90,91.29 ± 1.00,83.25 ± 3.27,27.01 ± 7.61,40.49 ± 8.92,91.92 ± 2.92,29.80 ± 8.16,44.69 ± 9.55,0.667,0.577,16.67 ± 14.43,3.667,0.577,2.91 ± 1.05,0.333,0.577,0.31 ± 0.54,4.0,1.0,3.22 ± 1.49,0.0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,134.333,33.975,130.333,34.948,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,1669.75,154.82,1669.75,154.82,107.974,9.872,15.463,0.114,7.201,0.659,16.67 ± 14.43,0.00 ± 0.00,0.00 ± 0.00,16.67 ± 14.43,0.00 ± 0.00,0.00 ± 0.00,66.67 ± 14.43,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
google/gemma-4-E2B-it,uner_en_pud,context_hf,exact,False,n|a,,sampling,True,context,64,250,18000,"42,43,44",3,79.81 ± 2.28,39.88 ± 4.85,53.09 ± 4.70,92.54 ± 0.77,82.15 ± 4.13,46.44 ± 6.05,59.21 ± 5.62,88.71 ± 2.89,50.11 ± 5.66,63.90 ± 4.79,0.667,0.577,16.67 ± 14.43,4.667,1.155,1.95 ± 0.49,2.333,2.517,0.93 ± 1.03,7.0,3.606,2.88 ± 1.40,1.667,1.528,0.66 ± 0.59,0,0.0,0.00 ± 0.00,241.0,33.181,232.333,30.501,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,2841.75,530.203,2841.75,530.203,187.715,37.577,15.167,0.253,12.518,2.505,16.67 ± 14.43,0.00 ± 0.00,0.00 ± 0.00,16.67 ± 14.43,0.00 ± 0.00,0.00 ± 0.00,66.67 ± 14.43,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
google/gemma-4-E2B-it,uner_pt_pud,context_hf,exact,False,n|a,,sampling,True,context,64,250,18000,"42,43,44",3,85.74 ± 2.19,39.78 ± 10.37,53.84 ± 9.92,92.85 ± 1.14,85.35 ± 2.76,42.48 ± 11.24,56.19 ± 10.31,88.86 ± 3.08,44.24 ± 11.71,58.50 ± 10.76,0.667,0.577,16.67 ± 14.43,6.333,2.517,2.76 ± 0.99,3.0,1.0,1.43 ± 0.80,9.333,2.309,4.19 ± 1.24,0.0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,230.667,55.501,221.333,55.537,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,2858.083,131.127,2858.083,131.127,190.068,8.722,15.037,0.014,12.675,0.582,8.33 ± 14.43,0.00 ± 0.00,0.00 ± 0.00,16.67 ± 14.43,0.00 ± 0.00,0.00 ± 0.00,75.00 ± 25.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
google/gemma-4-E2B-it,uner_sr_set,context_hf,exact,False,n|a,,sampling,True,context,64,250,18000,"42,43,44",3,89.67 ± 0.80,19.94 ± 7.40,32.21 ± 9.84,89.65 ± 1.20,87.82 ± 4.93,20.94 ± 7.52,33.27 ± 9.45,92.28 ± 2.84,22.09 ± 8.28,35.05 ± 10.41,0.667,0.577,16.67 ± 14.43,8.0,4.583,5.85 ± 2.18,6.667,2.517,5.46 ± 3.32,14.667,6.11,11.30 ± 4.94,0.333,0.577,0.30 ± 0.52,0,0.0,0.00 ± 0.00,134.333,46.199,119.333,43.108,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,1880.25,209.636,1880.25,209.636,123.287,16.656,15.292,0.852,8.222,1.111,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,16.67 ± 14.43,0.00 ± 0.00,0.00 ± 0.00,83.33 ± 14.43,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
google/gemma-4-E2B-it,uner_zh_gsdsimp,context_hf,exact,False,n|a,,sampling,True,context,64,250,18000,"42,43,44",3,75.34 ± 7.08,13.07 ± 2.93,22.23 ± 4.57,84.33 ± 0.45,83.73 ± 3.00,13.38 ± 1.62,23.04 ± 2.33,91.39 ± 2.90,14.59 ± 1.63,25.13 ± 2.30,0.333,0.577,8.33 ± 14.43,27.333,16.803,16.23 ± 10.95,43.0,15.716,24.44 ± 7.55,70.333,3.512,40.66 ± 5.64,0.0,0.0,0.00 ± 0.00,0,0.0,0.00 ± 0.00,174.333,15.044,104.0,18.193,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,0.0,0.0,1953.333,190.06,1953.333,190.06,108.056,10.44,18.076,0.109,7.206,0.696,8.33 ± 14.43,8.33 ± 14.43,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,83.33 ± 14.43,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
