model,dataset,reasoning_enabled,reasoning_effort,repetition_penalty,sampling_strategy,do_sample,eval_mode,processor_class,batch_size,max_examples,max_new_tokens,seeds,n_iters,char_f1_report,char_precision_report,char_recall_report,semin_hard_precision_report,semin_hard_recall_report,semin_hard_f1_report,semin_soft_precision_report,semin_soft_recall_report,semin_soft_f1_report,wrong_text_count_avg,wrong_text_count_std,wrong_text_rate_report,predicted_spans_avg,predicted_spans_std,reasoning_unterminated_count_avg,reasoning_unterminated_count_std,reasoning_unterminated_rate_report,reasoning_skipped_count_avg,reasoning_skipped_rate_report,reasoning_tokens_avg_avg,reasoning_tokens_avg_std,elapsed_minute_avg,elapsed_minute_std
google/gemma-4-E2B-it,legalqa,True,n|a,,sampling,True,unconstrained,n|a,1,,18000,42,1,50.14 ± 0.00,50.11 ± 0.00,50.24 ± 0.00,52.88 ± 0.00,1.36 ± 0.00,2.65 ± 0.00,52.88 ± 0.00,1.36 ± 0.00,2.65 ± 0.00,1015,0.0,84.16 ± 0.00,504,0.0,0,0.0,0.00 ± 0.00,14,1.16 ± 0.00,464.327,0.0,471.99,0.0
google/gemma-4-E2B-it,legalqa,True,n|a,,sampling,True,constrained,token_aware,1,,18000,42,1,35.14 ± 0.00,33.75 ± 0.00,52.88 ± 0.00,6.27 ± 0.00,54.07 ± 0.00,11.24 ± 0.00,6.27 ± 0.00,54.07 ± 0.00,11.24 ± 0.00,0,0.0,0.00 ± 0.00,2359,0.0,0,0.0,0.00 ± 0.00,0,0.00 ± 0.00,466.925,0.0,593.25,0.0
